"","name","description"
"1","StartDate","Start Date"
"2","EndDate","End Date"
"3","Status","Response Type"
"4","IPAddress","IP Address"
"5","Progress","Progress"
"6","Duration..in.seconds.","Duration (in seconds)"
"7","Finished","Finished"
"8","RecordedDate","Recorded Date"
"9","ResponseId","Response ID"
"10","RecipientLastName","Recipient Last Name"
"11","RecipientFirstName","Recipient First Name"
"12","RecipientEmail","Recipient Email"
"13","ExternalReference","External Data Reference"
"14","LocationLatitude","Location Latitude"
"15","LocationLongitude","Location Longitude"
"16","DistributionChannel","Distribution Channel"
"17","UserLanguage","User Language"
"18","browser_Browser","Click to write the question text - Browser"
"19","browser_Version","Click to write the question text - Version"
"20","browser_Operating.System","Click to write the question text - Operating System"
"21","browser_Resolution","Click to write the question text - Resolution"
"22","t.ins_First.Click","Timing - First Click"
"23","t.ins_Last.Click","Timing - Last Click"
"24","t.ins_Page.Submit","Timing - Page Submit"
"25","t.ins_Click.Count","Timing - Click Count"
"26","c.dat","Answering “Yes” below means we may use your data in our research and answering “No” means we may not."
"27","bu.1","I’m unsure that I belong at UO."
"28","bu.2","I sometimes feel that people at UO do not accept me."
"29","bu.3","I worry that I am an outsider at UO."
"30","bu.4","I am anxious about whether I fit in socially at UO."
"31","au.1","I worry my abilities are not good enough to do well at UO."
"32","au.2","I often wonder if I have what it takes to succeed at UO."
"33","au.4","I worry that no matter how hard I try, I won't be able to perform
successfully at UO."
"34","au.5","I'm not sure that I'm cut out for UO."
"35","t.bau_First.Click","Timing - First Click"
"36","t.bau_Last.Click","Timing - Last Click"
"37","t.bau_Page.Submit","Timing - Page Submit"
"38","t.bau_Click.Count","Timing - Click Count"
"39","stt.1","At the UO, I worry that people draw conclusions about people like me, based on my performances."
"40","stt.2","At the UO, I worry that people draw conclusions about people like me, based on the performances of other people with similar identities."
"41","stt.3","At the UO, I worry that people draw conclusions about me, based on what they think about people with backgrounds like mine."
"42","stt.4","At the UO, I worry that people draw conclusions about me, based on the performances of other people like me."
"43","t.stt_First.Click","Timing - First Click"
"44","t.stt_Last.Click","Timing - Last Click"
"45","t.stt_Page.Submit","Timing - Page Submit"
"46","t.stt_Click.Count","Timing - Click Count"
"47","t.ov.1_First.Click","Timing - First Click"
"48","t.ov.1_Last.Click","Timing - Last Click"
"49","t.ov.1_Page.Submit","Timing - Page Submit"
"50","t.ov.1_Click.Count","Timing - Click Count"
