uo_id,pidm,id_bl,cohort,id_eoy_2223
951482566,4187261,1,1516,NA
951481983,4186010,2,1516,NA
951496034,4209693,3,1516,NA
951463331,4161428,4,1516,NA
951507271,4231579,5,1516,NA
951506126,4228658,6,1516,NA
951487506,4196956,7,1516,NA
951506409,4229841,8,1516,NA
951506150,4228682,9,1516,NA
951476384,4178007,10,1516,NA
951463226,4161323,11,1516,NA
951464098,4162195,12,1516,NA
951467908,4166356,13,1516,NA
951469185,4168009,14,1516,NA
951458488,4155562,15,1516,NA
951507550,4231858,16,1516,NA
951502091,4220412,17,1516,NA
951467187,4165623,18,1516,NA
951463754,4161851,19,1516,NA
951475944,4177345,20,1516,NA
951434538,4115698,21,1516,NA
951464526,4162623,22,1516,NA
951463274,4161371,23,1516,NA
951476656,4178454,24,1516,NA
951474485,4175082,25,1516,NA
951463400,4161497,26,1516,NA
951474625,4175292,27,1516,NA
951505323,4226805,28,1516,NA
951469556,4168380,29,1516,NA
951505862,4228394,30,1516,NA
951497714,4212418,31,1516,NA
951484338,4190249,32,1516,NA
951463373,4161470,33,1516,NA
951506586,4230019,34,1516,NA
951483991,4189894,35,1516,NA
951485610,4194260,36,1516,NA
951453212,4148917,37,1516,NA
951484142,4190053,38,1516,NA
951503268,4222004,39,1516,NA
951488023,4197646,40,1516,NA
951509105,4237119,41,1516,NA
951503177,4221913,42,1516,NA
951465747,4164073,43,1516,NA
951467604,4166051,44,1516,NA
951467071,4165505,45,1516,NA
951502535,4220856,46,1516,NA
951500862,4218030,47,1516,NA
951434199,4114719,48,1516,NA
951467732,4166179,49,1516,NA
951462989,4161086,50,1516,NA
951538340,4274818,51,1516,NA
951464827,4162924,52,1516,NA
951511401,4242427,53,1516,NA
951463768,4161865,54,1516,NA
951406141,4068522,55,1516,NA
951464322,4162419,56,1516,NA
951479705,4182833,57,1516,NA
951500714,4217567,58,1516,NA
951491330,4202370,59,1516,NA
951470359,4169501,60,1516,748
951464156,4162253,61,1516,NA
951494957,4208441,62,1516,NA
951485853,4194511,63,1516,NA
951459184,4156553,64,1516,NA
951447597,4141181,65,1516,NA
951464226,4162323,66,1516,NA
951462949,4161046,67,1516,NA
951475589,4176807,68,1516,NA
951486758,4195662,69,1516,NA
951465058,4163155,70,1516,NA
951482709,4187404,71,1516,NA
951457405,4154018,72,1516,NA
951482194,4187081,73,1516,NA
951484628,4191462,74,1516,NA
951486418,4195323,75,1516,NA
951470357,4169499,76,1516,NA
951487102,4196214,77,1516,NA
951504468,4225511,78,1516,NA
951485459,4193980,79,1516,NA
951510694,4241142,80,1516,NA
951464297,4162394,81,1516,NA
951491328,4202368,82,1516,NA
951460816,4158540,83,1516,NA
951508600,4234691,84,1516,NA
951497017,4211405,85,1516,NA
951483118,4187834,86,1516,NA
951480221,4183599,87,1516,NA
951509972,4237993,88,1516,NA
951487402,4196652,89,1516,NA
951496770,4211154,90,1516,NA
951467414,4165860,91,1516,NA
951478050,4180474,92,1516,NA
951476915,4178718,93,1516,NA
951503248,4221984,94,1516,NA
951486885,4195988,95,1516,NA
951490788,4201524,96,1516,NA
951478807,4181396,97,1516,NA
951502087,4220408,98,1516,NA
951483876,4189779,99,1516,NA
951489700,4200136,100,1516,NA
951467859,4166307,101,1516,NA
951486405,4195310,102,1516,NA
951488839,4198904,103,1516,NA
951510140,4239373,104,1516,NA
951464101,4162198,105,1516,NA
951486956,4196065,106,1516,NA
951463073,4161170,107,1516,NA
951456123,4152337,108,1516,NA
951505350,4226832,109,1516,NA
951466818,4165252,110,1516,NA
951483448,4188696,111,1516,NA
951486940,4196049,112,1516,NA
951460602,4158326,113,1516,NA
951467209,4165647,114,1516,NA
951464252,4162349,115,1516,NA
951464056,4162153,116,1516,NA
951482714,4187409,117,1516,NA
951481291,4185304,118,1516,NA
951506584,4230017,119,1516,NA
951460496,4158220,120,1516,NA
951484354,4190265,121,1516,NA
951481530,4185543,122,1516,NA
951481803,4185808,123,1516,NA
951486350,4195136,124,1516,NA
951480757,4184769,125,1516,NA
951481401,4185414,126,1516,NA
951482684,4187379,127,1516,NA
951472026,4171843,128,1516,NA
951460521,4158245,129,1516,NA
951469111,4167935,130,1516,NA
951507288,4231596,131,1516,NA
951467581,4166028,132,1516,NA
951484841,4191675,133,1516,NA
951466687,4165121,134,1516,NA
951500874,4218042,135,1516,NA
951510339,4239573,136,1516,NA
951510505,4239740,137,1516,NA
951490222,4200830,138,1516,NA
951480688,4184220,139,1516,NA
951482383,4186689,140,1516,NA
951469492,4168316,141,1516,NA
951490889,4201926,142,1516,NA
951460682,4158406,143,1516,NA
951477317,4179456,144,1516,NA
951460421,4158145,145,1516,NA
951488549,4198497,146,1516,NA
951489280,4199724,147,1516,NA
951473503,4173764,148,1516,NA
951459273,4156642,149,1516,NA
951504371,4225037,150,1516,NA
951502201,4220522,151,1516,NA
951475540,4176621,152,1516,NA
951493992,4206424,153,1516,NA
951503521,4223074,154,1516,NA
951508168,4234255,155,1516,NA
951486981,4196090,156,1516,NA
951406434,4068904,157,1516,NA
951462725,4160822,158,1516,NA
951486361,4195147,159,1516,NA
951460303,4158027,160,1516,NA
951509990,4238011,161,1516,NA
951485331,4192186,162,1516,NA
951485383,4193904,163,1516,NA
951477662,4179936,164,1516,NA
951463718,4161815,165,1516,NA
951463468,4161565,166,1516,NA
951466747,4165181,167,1516,NA
951491663,4202705,168,1516,NA
951483819,4189716,169,1516,NA
951453624,4149462,170,1516,NA
951505396,4226878,171,1516,NA
951483550,4188790,172,1516,NA
951505757,4228289,173,1516,NA
951508382,4234473,174,1516,NA
951482384,4186690,175,1516,NA
951480840,4184852,176,1516,NA
951507732,4232040,177,1516,NA
951483167,4187883,178,1516,NA
951459126,4156495,179,1516,NA
951498118,4213291,180,1516,NA
951490109,4200717,181,1516,NA
951506269,4229698,182,1516,NA
951464144,4162241,183,1516,NA
951500075,4216668,184,1516,NA
951508259,4234347,185,1516,NA
951505115,4226597,186,1516,NA
951507753,4232061,187,1516,NA
951480760,4184772,188,1516,NA
951462743,4160840,189,1516,NA
951467621,4166068,190,1516,NA
951508752,4234843,191,1516,NA
951509931,4237952,192,1516,NA
951481415,4185428,193,1516,NA
951503657,4223212,194,1516,NA
951471807,4171468,195,1516,NA
951463132,4161229,196,1516,NA
951487130,4196242,197,1516,NA
951484594,4191428,198,1516,NA
951460529,4158253,199,1516,NA
951492574,4204108,200,1516,NA
951496258,4210200,201,1516,NA
951502970,4221706,202,1516,NA
951463591,4161688,203,1516,NA
951491409,4202449,204,1516,NA
951483432,4188675,205,1516,NA
951464941,4163038,206,1516,NA
951464877,4162974,207,1516,NA
951462826,4160923,208,1516,NA
951499235,4215377,209,1516,NA
951464697,4162794,210,1516,NA
951485741,4194398,211,1516,NA
951479729,4182857,212,1516,NA
951524506,4259200,213,1516,NA
951460458,4158182,214,1516,NA
951464816,4162913,215,1516,NA
951499021,4214984,216,1516,NA
951508661,4234752,217,1516,NA
NA,NA,218,1516,NA
NA,NA,219,1516,NA
951506559,4229992,220,1516,NA
951499863,4216456,221,1516,NA
951459489,4156858,222,1516,NA
951499962,4216555,223,1516,NA
951460104,4157726,224,1516,NA
951481566,4185579,225,1516,NA
951410391,4074734,226,1516,NA
951484440,4191274,227,1516,NA
951480933,4184945,228,1516,NA
951467110,4165544,229,1516,NA
951497712,4212416,230,1516,NA
951506902,4231206,231,1516,NA
NA,NA,232,1516,NA
NA,NA,233,1516,NA
NA,NA,234,1516,NA
NA,NA,235,1516,NA
NA,NA,236,1516,NA
951484398,4191232,237,1516,NA
951485295,4192150,238,1516,NA
951487504,4196954,240,1516,NA
951495531,4209188,241,1516,NA
951485845,4194503,242,1516,NA
951486756,4195660,243,1516,NA
951507200,4231508,244,1516,NA
951464066,4162163,245,1516,NA
951467659,4166106,246,1516,NA
951474431,4174977,247,1516,NA
951495483,4209140,248,1516,NA
951509983,4238004,249,1516,NA
951469510,4168334,250,1516,NA
951503189,4221925,251,1516,NA
951509109,4237123,252,1516,NA
951479972,4183197,253,1516,NA
951476903,4178706,254,1516,NA
951507432,4231740,255,1516,NA
951483785,4189768,256,1516,NA
951478597,4181185,257,1516,NA
951452648,4147959,258,1516,NA
951489971,4200420,259,1516,NA
951461679,4159451,260,1516,NA
951499480,4215805,261,1516,NA
951483196,4187912,262,1516,NA
951492177,4203709,263,1516,NA
951492902,4204436,264,1516,NA
951481009,4185021,265,1516,NA
951467119,4165553,266,1516,NA
951507067,4231376,267,1516,NA
951484584,4191418,268,1516,NA
951500784,4217832,269,1516,NA
951484283,4190194,270,1516,NA
951492190,4203722,271,1516,NA
951505113,4226595,272,1516,NA
951473481,4173739,273,1516,NA
951463237,4161334,274,1516,NA
951489117,4199428,275,1516,NA
951460719,4158443,276,1516,NA
951468897,4167624,277,1516,NA
951478565,4181153,278,1516,NA
951484651,4191485,279,1516,NA
951462878,4160975,280,1516,NA
951483794,4189691,281,1516,NA
951484284,4190195,282,1516,NA
951464872,4162969,283,1516,NA
951493051,4204590,284,1516,NA
951507697,4232005,285,1516,NA
951459597,4156966,286,1516,NA
951478814,4181403,287,1516,NA
951469373,4168197,288,1516,NA
951504446,4225112,289,1516,NA
951519854,4253830,290,1516,NA
951492965,4204476,291,1516,NA
951483963,4189866,292,1516,NA
951471414,4170989,293,1516,NA
951477182,4179167,294,1516,NA
951466808,4165242,295,1516,NA
951467872,4166320,296,1516,NA
951469127,4167951,297,1516,NA
951485027,4191861,298,1516,NA
951453622,4149460,299,1516,NA
951491751,4203088,300,1516,NA
951447483,4141051,301,1516,NA
951464197,4162294,302,1516,NA
951499696,4216031,303,1516,NA
951475478,4176548,304,1516,NA
951458323,4155309,305,1516,NA
951490313,4201040,306,1516,NA
951503024,4221760,307,1516,NA
951460096,4157718,308,1516,NA
951509929,4237950,309,1516,NA
951474409,4174955,310,1516,NA
951483153,4187869,311,1516,NA
951477976,4180400,312,1516,NA
951484995,4191829,313,1516,NA
951482078,4186401,314,1516,NA
951467080,4165514,315,1516,NA
951453525,4149363,316,1516,NA
951490015,4200464,317,1516,NA
951484312,4190223,318,1516,NA
951467052,4165486,319,1516,NA
951493108,4204864,320,1516,NA
951478391,4180815,321,1516,NA
951507364,4231672,322,1516,NA
951491244,4202284,323,1516,NA
951497781,4212498,324,1516,NA
951489138,4199449,325,1516,NA
951484671,4191505,326,1516,NA
951484080,4189988,327,1516,NA
951482428,4187120,328,1516,NA
951475731,4176962,329,1516,NA
951508364,4234455,330,1516,NA
951459234,4156603,331,1516,NA
951484232,4190143,332,1516,NA
951486010,4194794,333,1516,NA
951464687,4162784,334,1516,NA
951486373,4195278,335,1516,NA
951492175,4203707,336,1516,NA
951484790,4191624,337,1516,NA
951495536,4209193,338,1516,NA
951452213,4147389,339,1516,NA
951476355,4177898,340,1516,NA
951488479,4198350,341,1516,NA
951480514,4184046,342,1516,NA
951466650,4165084,343,1516,NA
951483666,4188906,344,1516,NA
